Date,Close,Open,RoR
2017-05-17,49.07,48.23,0.017416545718432583
2017-05-18,49.35,48.93,0.008583690987124498
2017-05-19,50.33,49.28,0.021306818181818125
2017-05-22,50.73,50.6,0.0025691699604742184
2017-05-23,51.47,51.04,0.008424764890282127
2017-05-24,51.36,51.44,-0.0015552099533436682
2017-05-25,48.9,51.25,-0.04585365853658539
2017-05-26,49.8,48.75,0.02153846153846148
2017-05-30,49.66,50.07,-0.008188536049530732
2017-05-31,48.32,49.65,-0.026787512588116784
2017-06-01,48.36,48.63,-0.0055521283158544744
2017-06-02,47.66,48.04,-0.007910074937552093
2017-06-05,47.4,47.71,-0.0064975896038566815
2017-06-06,48.19,47.4,0.01666666666666665
2017-06-07,45.72,47.98,-0.047102959566486
2017-06-08,45.64,45.85,-0.004580152671755744
2017-06-09,45.83,45.71,0.0026252461168233964
2017-06-12,46.08,45.8,0.006113537117903955
2017-06-13,46.46,46.01,0.009780482503803584
2017-06-14,44.73,45.94,-0.02633870265563781
2017-06-15,44.46,44.69,-0.0051465652271200915
2017-06-16,44.74,44.25,0.01107344632768366
2017-06-19,44.2,44.68,-0.010743061772605122
2017-06-20,43.23,44.11,-0.01995012468827936
2017-06-21,42.53,43.38,-0.01959428307976029
2017-06-22,42.74,42.55,0.004465334900117622
2017-06-23,43.01,42.8,0.004906542056074787
2017-06-26,43.38,43.16,0.0050973123262281275
2017-06-27,44.24,43.49,0.01724534375718556
2017-06-28,44.74,43.7,0.023798627002288308
2017-06-29,44.93,44.89,0.0008910670527957038
2017-06-30,46.04,44.89,0.025618177767877
2017-07-03,47.07,47.04,0.0006377551020408405
2017-07-05,45.13,47.07,-0.04121521138729547
2017-07-06,45.52,45.65,-0.002847754654983471
2017-07-07,44.23,45.35,-0.024696802646086098
2017-07-10,44.4,44.35,0.0011273957158962156
2017-07-11,45.04,44.58,0.010318528488111281
2017-07-12,45.49,45.74,-0.005465675557498907
2017-07-13,46.08,45.44,0.014084507042253534
2017-07-14,46.54,46.08,0.009982638888888907
2017-07-17,46.02,46.68,-0.01413881748071972
2017-07-18,46.4,45.99,0.008914981517721169
2017-07-19,47.12,46.25,0.018810810810810756
2017-07-20,46.79,47.09,-0.006370779358674968
2017-07-21,45.77,46.91,-0.024301854615220497
2017-07-24,46.34,45.62,0.015782551512494653
2017-07-25,47.89,46.46,0.030779164873009034
2017-07-26,48.75,48.51,0.004947433518862131
2017-07-27,49.04,48.7,0.006981519507186782
2017-07-28,49.71,49.17,0.01098230628431969
2017-07-31,50.17,49.85,0.006419257773319966
2017-08-01,49.16,50.21,-0.020912168890659315
2017-08-02,49.59,48.8,0.016188524590164063
2017-08-03,49.03,49.59,-0.011292599314377944
2017-08-04,49.58,48.95,0.012870275791624013
2017-08-07,49.39,49.59,-0.004033071183706449
2017-08-08,49.17,49.31,-0.002839180693571295
2017-08-09,49.56,49.0,0.011428571428571475
2017-08-10,48.59,49.68,-0.021940418679549042
2017-08-11,48.82,48.52,0.006183017312448416
2017-08-14,47.59,48.79,-0.024595203935232544
2017-08-15,47.55,47.49,0.0012634238787112059
2017-08-16,46.78,47.72,-0.019698239731768603
2017-08-17,47.09,46.8,0.006196581196581331
2017-08-18,48.51,46.93,0.03366716386106964
2017-08-21,47.37,48.72,-0.02770935960591136
2017-08-22,47.64,47.45,0.0040042149631190245
2017-08-23,48.41,47.64,0.016162888329135098
2017-08-24,47.43,48.36,-0.019230769230769225
2017-08-25,47.87,47.62,0.005249895002099958
2017-08-28,46.57,47.89,-0.027563165587805392
2017-08-29,46.44,46.86,-0.008962868117797732
2017-08-30,45.96,46.31,-0.007557762902180984
2017-08-31,47.23,45.95,0.027856365614798564
2017-09-01,47.29,47.28,0.00021150592216577857
2017-09-05,48.66,47.39,0.026798902722093183
2017-09-06,49.16,48.59,0.011730808808396649
2017-09-07,49.09,49.14,-0.0010175010175009597
2017-09-08,47.48,49.09,-0.03279690364636395
2017-09-11,48.07,47.58,0.010298444724674276
2017-09-12,48.23,48.12,0.0022859517871986583
2017-09-13,49.3,48.34,0.019859329747620887
2017-09-14,49.89,49.31,0.011762320016223855
2017-09-15,49.89,49.72,0.0034191472244569933
2017-09-18,49.91,49.85,0.0012036108324973956
2017-09-19,49.48,49.91,-0.008615507914245637
2017-09-20,50.41,49.84,0.011436597110754277
2017-09-21,50.55,50.72,-0.0033517350157729045
2017-09-22,50.66,50.73,-0.001379854129706294
2017-09-25,52.22,50.68,0.030386740331491698
